Index	UTC		Latitude		Longtitude	velocity	Satellites Used	True Heading	Fix Position
0	12653.162940	3735.037190	12653.162940		04		f		1
1	0.000000	0.000000	0.000000	0.068			f		
2	0.000000	0.000000	0.000000	0.017			f		
3	12653.163040	3735.037350	12653.163040	0.094	04		f		1
4	12653.163070	3735.037370	12653.163070	0.048	04		f		1
5	12653.163080	3735.037400	12653.163080	0.113	04		f		1
6	12653.163120	3735.037420	12653.163120	0.076	04		f		1
7	12653.163130	3735.037430	12653.163130	0.058	04		f		1
8	12653.163140	3735.037460	12653.163140	0.031	04		f		1
9	12653.163140	3735.037470	12653.163140	0.054	04		f		1
10	12653.163210	3735.037520	12653.163210	0.061	04		f		1
11	12653.163250	3735.037530	12653.163250	0.019	04		f		1
12	12653.163270	3735.037570	12653.163270	0.154	04		f		1
13	12653.163280	3735.037590	12653.163280	0.123	04		f		1
14	12653.163300	3735.037600	12653.163300	0.134	04		f		1
15	12653.163350	3735.037640	12653.163350	0.056	04		f		1
16	12653.163430	3735.037690	12653.163430	0.182	04		f		1
17	12653.163420	3735.037700	12653.163420	0.177	04		f		1
18	12653.163430	3735.037710	12653.163430	0.148	04		f		1
19	12653.163480	3735.037740	12653.163480	0.075	04		f		1
20	12653.163520	3735.037780	12653.163520	0.109	04		f		1
21	12653.163550	3735.037800	12653.163550	0.151	04		f		1
22	12653.163570	3735.037820	12653.163570	0.105	04		f		1
23	12653.163620	3735.037850	12653.163620	0.027	04		f		1
24	12653.163690	3735.037900	12653.163690	0.110	04		f		1
25	12653.163720	3735.037920	12653.163720	0.335	04		f		1
26	12653.163740	3735.037940	12653.163740	0.083	04		f		1
27	12653.163760	3735.037970	12653.163760	0.018	04		f		1
28	12653.163820	3735.038010	12653.163820	0.035	04		f		1
29	12653.163850	3735.038040	12653.163850	0.054	04		f		1
30	12653.163910	3735.038070	12653.163910	0.099	04		f		1
31	12653.163960	3735.038110	12653.163960	0.084	04		f		1
32	12653.164000	3735.038140	12653.164000	0.106	04		f		1
33	12653.164040	3735.038180	12653.164040	0.149	04		f		1
34	12653.164070	3735.038200	12653.164070	0.101	04		f		1
35	12653.164140	3735.038240	12653.164140	0.044	04		f		1
36	12653.164160	3735.038270	12653.164160	0.090	04		f		1
37	12653.164190	3735.038290	12653.164190	0.092	04		f		1
38	12653.164250	3735.038330	12653.164250	0.084	04		f		1
39	12653.164280	3735.038360	12653.164280	0.084	04		f		1
40	12653.164320	3735.038380	12653.164320	0.113	04		f		1
41	12653.164340	3735.038400	12653.164340	0.053	04		f		1
42	12653.164420	3735.038450	12653.164420	0.095	04		f		1
43	12653.164460	3735.038480	12653.164460	0.123	04		f		1
44	12653.164500	3735.038520	12653.164500	0.091	04		f		1
45	12653.164530	3735.038540	12653.164530	0.078	04		f		1
46	12653.164590	3735.038570	12653.164590	0.144	04		f		1
47	12653.164640	3735.038610	12653.164640	0.130	04		f		1
48	12653.164650	3735.038630	12653.164650	0.101	04		f		1
49	12653.164690	3735.038660	12653.164690	0.065	04		f		1
50	12653.164710	3735.038680	12653.164710	0.051	04		f		1
51	12653.164770	3735.038720	12653.164770	0.047	04		f		1
52	12653.164830	3735.038750	12653.164830	0.182	04		f		1
53	12653.164810	3735.038740	12653.164810	0.101	04		f		1
54	12653.164870	3735.038790	12653.164870	0.107	04		f		1
55	12653.164920	3735.038820	12653.164920	0.093	04		f		1
56	12653.164910	3735.038820	12653.164910	0.046	04		f		1
57	12653.164970	3735.038850	12653.164970	0.084	04		f		1
58	12653.165020	3735.038890	12653.165020	0.222	04		f		1
59	12653.165070	3735.038930	12653.165070	0.082	04		f		1
60	12653.165080	3735.038940	12653.165080	0.043	04		f		1
61	12653.165130	3735.038970	12653.165130	0.068	04		f		1
62	12653.165170	3735.039000	12653.165170	0.157	04		f		1
63	12653.165210	3735.039020	12653.165210	0.039	04		f		1
64	12653.165260	3735.039060	12653.165260	0.022	04		f		1
65	12653.165290	3735.039080	12653.165290	0.152	04		f		1
66	12653.165340	3735.039120	12653.165340	0.070	04		f		1
67	12653.165380	3735.039140	12653.165380	0.096	04		f		1
68	12653.165420	3735.039160	12653.165420	0.086	04		f		1
69	12653.165470	3735.039190	12653.165470	0.129	04		f		1
70	12653.165500	3735.039220	12653.165500	0.099	04		f		1
71	12653.165570	3735.039250	12653.165570	0.206	04		f		1
72	12653.165610	3735.039280	12653.165610	0.089	04		f		1
73	12653.165630	3735.039290	12653.165630	0.042	04		f		1
74	12653.165680	3735.039330	12653.165680	0.079	04		f		1
75	12653.165740	3735.039370	12653.165740	0.089	04		f		1
76	12653.165780	3735.039390	12653.165780	0.134	04		f		1
77	12653.165810	3735.039410	12653.165810	0.163	04		f		1
78	12653.165850	3735.039440	12653.165850	0.073	04		f		1
79	12653.165880	3735.039460	12653.165880	0.046	04		f		1
80	12653.165940	3735.039490	12653.165940	0.120	04		f		1
81	12653.166000	3735.039530	12653.166000	0.174	04		f		1
82	12653.166020	3735.039550	12653.166020	0.119	04		f		1
